,id,questionID,respondent,section,question,answer,value,explanation,variant,type,form
0,553,11101,34,demographics,What is your age?,18-24,,,bfi2s_avatar,avatar,bfi
1,554,11102,34,demographics,Which gender do you identify as?,Female,,,bfi2s_avatar,avatar,bfi
2,555,11103,34,demographics,How do you identify yourself in terms of race?,White,,,bfi2s_avatar,avatar,bfi
3,556,11104,34,demographics,What is the highest education level you have completed?,Undergraduate degree,,,bfi2s_avatar,avatar,bfi
4,557,11109,34,demographics,"What is your personal income per year, after tax?","£10,000 - £19,999",,,bfi2s_avatar,avatar,bfi
5,558,11105,34,demographics,How often do you use a computer?,At least once a day,,,bfi2s_avatar,avatar,bfi
6,559,11106,34,demographics,What is your general attitude towards artificial intelligence?,Somewhat positive,,,bfi2s_avatar,avatar,bfi
7,560,11107,34,demographics,"Have you previously interacted with AI-based conversational agents (e.g., chatbots, virtual assistants, avatars) in online surveys or other platforms?",Not sure,,,bfi2s_avatar,avatar,bfi
8,561,11108,34,demographics,How would you rate your overall proficiency in English?,Native or bilingual speaker,,,bfi2s_avatar,avatar,bfi
9,562,11110,34,demographics,"You may love pizza or ice cream. But when we ask you what you would order in the restaurant, you need to choose a salad.",Salad,,,bfi2s_avatar,avatar,bfi
10,578,11000,34,questionnaire,Tends to be quiet.,Agree a little,,,bfi2s_avatar,avatar,bfi
11,586,11001,34,questionnaire,"Is compassionate, has a soft heart.",Agree strongly,,,bfi2s_avatar,avatar,bfi
12,587,11002,34,questionnaire,Tends to be disorganized.,Disagree a little,,,bfi2s_avatar,avatar,bfi
13,588,11003,34,questionnaire,Worries a lot.,Agree a little,,,bfi2s_avatar,avatar,bfi
14,589,11004,34,questionnaire,"Is fascinated by art, music, or literature.",Disagree a little,,,bfi2s_avatar,avatar,bfi
15,593,11005,34,questionnaire,"Is dominant, acts as a leader.",Disagree a little,,,bfi2s_avatar,avatar,bfi
16,594,11006,34,questionnaire,Is sometimes rude to others.,Disagree a little,,,bfi2s_avatar,avatar,bfi
17,595,11007,34,questionnaire,Has difficulty getting started on tasks.,Agree a little,,,bfi2s_avatar,avatar,bfi
18,596,11008,34,questionnaire,"Tends to feel depressed, blue.",Disagree a little,,,bfi2s_avatar,avatar,bfi
19,597,11009,34,questionnaire,I prefer summer over winter.,"Agree strongly, Disagree strongly",,,bfi2s_avatar,avatar,bfi
20,598,11010,34,questionnaire,Has little interest in abstract ideas.,"Neutral, no opinion",,,bfi2s_avatar,avatar,bfi
21,599,11011,34,questionnaire,Is full of energy.,Agree a little,,,bfi2s_avatar,avatar,bfi
22,606,11012,34,questionnaire,Assumes the best about people.,Agree a little,,,bfi2s_avatar,avatar,bfi
23,607,11013,34,questionnaire,"Is reliable, can always be counted on.",Agree a little,,,bfi2s_avatar,avatar,bfi
24,608,11014,34,questionnaire,"Is emotionally stable, not easily upset.",Agree a little,,,bfi2s_avatar,avatar,bfi
25,610,11015,34,questionnaire,"Is original, comes up with new ideas.",Disagree a little,,,bfi2s_avatar,avatar,bfi
26,611,11016,34,questionnaire,"Is outgoing, sociable.",Disagree a little,,,bfi2s_avatar,avatar,bfi
27,612,11017,34,questionnaire,Can be cold and uncaring.,Disagree strongly,,,bfi2s_avatar,avatar,bfi
28,617,11018,34,questionnaire,Keeps things neat and tidy.,Agree strongly,,,bfi2s_avatar,avatar,bfi
29,618,11019,34,questionnaire,"Is relaxed, handles stress well.","Neutral, no opinion",,,bfi2s_avatar,avatar,bfi
30,619,11020,34,questionnaire,Has few artistic interests.,Agree a little,,,bfi2s_avatar,avatar,bfi
31,622,11021,34,questionnaire,Prefers to have others take charge.,Agree a little,,,bfi2s_avatar,avatar,bfi
32,625,11022,34,questionnaire,"Is respectful, treats others with respect.",Agree strongly,,,bfi2s_avatar,avatar,bfi
