,id,variant,type,form,age,gender,race,education,income,computerUsage,AIattitude,AIinteraction,english,att1,att2,att3,avatar,violations,duration
0,34,bfi2s_avatar,avatar,bfi,18-24,Female,White,Undergraduate degree,"£10,000 - £19,999",At least once a day,Somewhat positive,Not sure,Native or bilingual speaker,True,True,True,SilasHR_public,3,27.506221166666666
1,8,bfi2s_classic,classic,bfi,18-24,Male,Other,High school diploma,"£0 - £9,999",At least once a day,Very positive,Yes,Native or bilingual speaker,True,True,True,,0,28.171914949999998
2,33,bfi2s_classic,classic,bfi,18-24,Female,White,Undergraduate degree,"£20,000 - £29,999",Multiple times a day,Somewhat positive,Yes,Native or bilingual speaker,True,True,True,,0,27.912783816666668
3,11,bfi2s_avatar,avatar,bfi,18-24,Male,White,Graduate degree,"£40,000 - £49,999",Multiple times a day,Somewhat positive,Yes,Native or bilingual speaker,True,False,True,SilasHR_public,6,22.452281083333332
4,9,bfi2s_classic,classic,bfi,18-24,Male,Black,High school diploma,No income,At least once a day,Somewhat negative,Yes,Native or bilingual speaker,True,True,True,,0,32.13393785
5,65,bfi2s_classic,classic,bfi,25-34,Female,White,Graduate degree,"£20,000 - £29,999",At least once a day,Neutral,Yes,Native or bilingual speaker,True,False,True,,1,30.83344575
6,35,bfi2s_classic,classic,bfi,18-24,Female,White,High school diploma,"£10,000 - £19,999",Multiple times a day,Somewhat positive,Yes,Intermediate,True,True,True,,2,46.27777258333333
7,69,bfi2s_avatar,avatar,bfi,25-34,Male,Black,Undergraduate degree,"£75,000 - £100,000",Multiple times a day,Somewhat positive,Yes,Advanced,True,True,True,Judy_Teacher_Sitting_public,3,37.905136549999995
8,80,cfq_avatar,avatar,cfq,25-34,Male,White,Graduate degree,"£75,000 - £100,000",Multiple times a day,Somewhat negative,Yes,Native or bilingual speaker,True,True,True,Shawn_Therapist_public,0,28.239469783333334
9,31,bfi2s_avatar,avatar,bfi,18-24,Female,White,High school diploma,"£0 - £9,999",Multiple times a day,Somewhat positive,Yes,Native or bilingual speaker,True,True,True,June_HR_public,5,33.40018353333333
10,72,cfq_avatar,avatar,cfq,18-24,Female,Asian or Pacific Islander,Secondary education,"£0 - £9,999",Multiple times a day,Somewhat positive,Yes,Native or bilingual speaker,True,True,True,Ann_Therapist_public,5,28.237660166666668
11,39,bfi2s_classic,classic,bfi,25-34,Male,Black,Graduate degree,"£50,000 - £74,999",Multiple times a day,Very positive,No,Advanced,True,True,True,,2,41.538553099999994
12,45,bfi2s_classic,classic,bfi,25-34,Female,Black,Undergraduate degree,"£40,000 - £49,999",Multiple times a day,Neutral,Yes,Native or bilingual speaker,True,True,True,,0,17.379601533333336
13,49,cfq_classic,classic,cfq,25-34,Male,White,High school diploma,"£10,000 - £19,999",Multiple times a day,Very positive,Yes,Native or bilingual speaker,True,True,True,,1,17.481631733333334
14,71,cfq_avatar,avatar,cfq,18-24,Male,White,Technical/community college,"£10,000 - £19,999",Multiple times a day,Somewhat positive,Yes,Intermediate,True,True,True,SilasHR_public,2,27.17207361666667
15,54,cfq_classic,classic,cfq,18-24,Male,White,High school diploma,"£0 - £9,999",Multiple times a day,Somewhat negative,Yes,Native or bilingual speaker,True,True,True,,2,27.36282955
16,42,cfq_classic,classic,cfq,18-24,Female,White,Undergraduate degree,"£10,000 - £19,999",Multiple times a day,Somewhat positive,Yes,Native or bilingual speaker,True,True,True,,0,26.31645545
